SA1_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
90101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,106,56,24,4,0,0,0,209,23,107,59,32,11,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101100103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,11,4,4,0,0,42,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,11,0,9,17,24,8,7,0,0,81,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,13,0,0,5,4,0,0,0,0,8,0,3
90101100104,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,8,8,11,8,3,0,0,49,0,0,0,4,0,4,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,6,5,5,0,3,0,0,0,0,10,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,24,17,24,4,12,0,0,84,15,48,33,45,21,22,0,0,193,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,8,0,3,3,5,3,0,0,0,17,0,6
90101100105,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,8,9,8,0,0,35,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,3,7,10,0,0,39,4,27,17,22,27,18,0,0,120,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,5,0,5,4,0,0,0,4,0,0,4,0,3,5,0,0,13,0,7
90102100201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,17,0,0,3,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,6,10,3,3,3,0,43,9,14,20,8,10,5,5,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,3,0
90102100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,14,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,4,4,0,14,0,0,10,16,19,6,4,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,5,0,0,0,16,0,4
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90103100301,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,12,8,5,9,7,7,4,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0
90103100302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,7,5,6,0,34,0,7,7,8,6,9,6,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,7,0,0,0,3,0,0,0,0,3,0,0
